Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,144233.02000000002,156941.59900000002,163681.664,174364.522,192904.582,203018.581,185671.746,195148.828,206053.84900000002,215709.87099999996,225272.667,233661.538,245512.27500000002,263393.367,275083.593
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,1517.316,1648.179,1756.109,1972.215,1596.014,1337.603,1588.44,1930.093,1990.04,1888.669,1980.193,1934.299,1970.749,1953.95,2096.802
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",1517.316,1648.179,1756.109,1972.215,1596.014,1337.603,1588.44,1930.093,1990.04,1888.669,1980.193,1934.299,1970.749,1953.95,2096.802
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,18094.012,20410.347999999998,25215.709000000003,27847.640999999996,27856,29338.494,26522.353,23191.02,24080.554,23594.318,25476.781,28110.716,26676.766,33251.186,30137.542
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,1949.069,2665.862,2201.54,2838.715,2086.363,2165.615,2105.018,1820.4,1295.948,911.92,916.112,1384.4,1437.21,1293.939,1521.63
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,1949.069,2665.862,2201.54,2838.715,2086.363,2165.615,2105.018,1820.4,1295.948,911.92,916.112,1384.4,1437.21,1293.939,1521.63
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",1042.687,1138.779,1288.086,1349.24,1639.589,1779.202,1971.741,1833.284,1870.398,2057.97,2123.736,2322.566,2516.621,2557.063,2596.432
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,11109.166,12393.497,17439.006,19177.552,19621.374,20757.686,18091.182,15323.883,16811.688,17029.905,18942.262,20698.522,18937.9,25278.241,21398.48
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,3993.0899999999997,4212.209999999999,4287.076999999999,4482.134,4508.674,4635.991,4354.411999999999,4213.453,4102.52,3594.523,3494.6709999999994,3705.2279999999996,3785.0349999999994,4121.943,4621
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,2025.997,2044.345,1936.924,2058.119,2178.486,2122.679,2152.941,2201.148,2193.219,1991.059,1985.555,2066.866,2121.616,2328.299,2514.592
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,263.512,289.073,262.959,297.893,311.957,397.835,403.825,391.101,412.687,380.938,359.385,355.471,343.998,312.323,311.846
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",35.256,37.823,35.019000000000005,40.583,42.135000000000005,37.61,34.998,41.063,38.88,35.297,36.019000000000005,37.08,39.194,42,39.746
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",96.273,101.066,98.21000000000001,109.962,109.898,98.49799999999999,94.031,109.734,104.284,90.29899999999999,91.716,89.76100000000001,89.428,109.60000000000001,126.641
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,327.481,428.496,504.414,430.654,363.163,350.94,329.904,248.284,200.818,183.658,179.636,194.641,172.988,144.359,220.935
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,117.107,113.778,125.325,140.14,133.24099999999999,140.17000000000002,128.239,132.156,116.247,117.481,111.328,104.91,116.613,159.357,135.83499999999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,35.492999999999995,34.940999999999995,37.988,37.173,35.092,36.256,41.071,39.376,42.367999999999995,59.80199999999999,51.980000000000004,50.996,42.216,39.918,49.94800000000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,709.629,761.618,857.814,908.334,879.428,995.28,745.502,639.566,616.712,412.285,381.614,490.302,526.575,519.284,695.208
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,223.868,235.649,261.279,288.532,289.966,311.42900000000003,269.602,252.371,209.534,166.929,136.58599999999998,146.335,143.803,240.357,278.20500000000004
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",25.812,29.134,30.648000000000003,29.662,23.744,31.735,41.146,30.454,20.226,19.952,28.59,40.516999999999996,56.020999999999994,85.33299999999998,111.26299999999999
